# run 1
CHANGE	eras/age_V/annals/age_V_01.json:EV-1007.body	the bridge at Cathair dhearg	->	Drochaid Cathair dhearg	|	 sent up by Pike, comes to the smiths' lane below the bridge at Cathair dhearg and works through the autumn 
CHANGE	eras/age_V/annals/age_V_05.json:EV-3049.body	the Mission's	->	Teachdaireachd na h-Eaglaise's	|	father's parish. The custodians of Inis bhàn keep the Mission's complaint about their pupils 
CHANGE	eras/age_V/annals/age_V_05.json:EV-3009.title	the Company's	->	A' Chompanaidh's	|	The passenger line read at the Company's counter
CHANGE	eras/age_V/annals/age_V_05.json:EV-3009.body	the Company's	->	A' Chompanaidh's	|	ird year after his son sailed Eachann Mòr asks at the Company's counter at Ros dhomhain after
CHANGE	eras/age_V/annals/age_V_05.json:EV-3051.body	the house of disputation	->	Taigh na Deasbaid	|	be harmed by a road it was not on, to the door of the house of disputation at Dùn thais beside the carve
CHANGE	eras/age_V/annals/age_V_05.json:EV-3052.body	The Company's	->	A' Chompanaidh's	|	The Company's search party of eight men goe
CHANGE	eras/age_V/annals/age_V_05.json:EV-3052.body	the Residency	->	Taigh an Àrd-mhaoir	|	o further for pay or threats. The agent writes to the Residency that the men are idle.
CHANGE	eras/age_V/annals/age_V_05.json:EV-3054.body	the Mission	->	Teachdaireachd na h-Eaglaise	|	Ros dhomhain quays at two and twenty, sent out by the Mission with a chest of linen and ins
CHANGE	eras/age_V/annals/age_V_05.json:EV-3055.body	A Mission pupil	->	A pupil of Teachdaireachd na h-Eaglaise	|	A Mission pupil of fifteen, Barabal nic Dhùgh
CHANGE	eras/age_V/annals/age_V_05.json:EV-3010.title	The Company's	->	A' Chompanaidh's	|	The Company's surgeon visits once
CHANGE	eras/age_V/annals/age_V_05.json:EV-3010.body	The Company's	->	A' Chompanaidh's	|	The Company's own surgeon comes to the chap
CHANGE	eras/age_V/annals/age_V_05.json:EV-3058.body	the Mission's	->	Teachdaireachd na h-Eaglaise's	|	Anne Colby has the Mission's chapel at Ros dhomhain opened
CHANGE	eras/age_V/annals/age_V_05.json:EV-3062.title	The Company	->	A' Chompanaidh	|	The Company fines Seann Vell for the shut
CHANGE	eras/age_V/annals/age_V_05.json:EV-3063.title	the Residency	->	Taigh an Àrd-mhaoir	|	Arthur Lisle dies at the Residency
CHANGE	eras/age_V/annals/age_V_05.json:EV-3063.body	the Residency	->	Taigh an Àrd-mhaoir	|	Arthur Lisle dies at the Residency above Ros dhomhain of a fever
CHANGE	eras/age_V/annals/age_V_05.json:EV-3063.body	Commissioner	->	Àrd-mhaor	|	 signing papers to the last. He is one and sixty, Commissioner twenty years, remembered by t
CHANGE	eras/age_V/annals/age_V_05.json:EV-3064.body	the Company	->	A' Chompanaidh	|	dies at two and seventy in the slate-roofed house the Company built him above the pit he fi
CHANGE	eras/age_V/annals/age_V_05.json:EV-3065.title	The Company	->	A' Chompanaidh	|	The Company gives Dòmhnall his father's s
CHANGE	eras/age_V/annals/age_V_05.json:EV-3066.body	The Mission	->	Teachdaireachd na h-Eaglaise	|	The Mission sends the cleric Edwin Lowe u
CHANGE	eras/age_V/annals/age_V_06.json:EV-3514.body	the Company's	->	A' Chompanaidh's	|	Martha Gale brings the Company's offer of partnership to the s
CHANGE	eras/age_V/annals/age_V_06.json:EV-3514.body	the silver guild	->	Comann an Airgid	|	Gale brings the Company's offer of partnership to the silver guild hall at Muileann chiar. A cle
CHANGE	eras/age_V/annals/age_V_06.json:EV-3515.body	the obelisk at Cnoc bheag	->	Carragh Cnoc bheag	|	noc chiar pillar beside Samuel Wren's old copy of the obelisk at Cnoc bheag and judges the two hands are 
CHANGE	eras/age_V/annals/age_V_06.json:EV-3516.body	his Company glazing	->	his glazing of A' Chompanaidh	|	When his Company glazing contract ends, Peter Voss doe
CHANGE	eras/age_V/annals/age_V_06.json:EV-3518.body	the column at Cnoc ghorm	->	Calbh Cnoc ghorm	|	takes ship at Ros dhomhain the year after copying the column at Cnoc ghorm, his notebooks sealed under h
CHANGE	eras/age_V/annals/age_V_06.json:EV-3519.title	the Company's	->	A' Chompanaidh's	|	Ùna nic Choinnich questions the Company's beam
CHANGE	eras/age_V/annals/age_V_06.json:EV-3519.body	the Company's	->	A' Chompanaidh's	|	ch, some eighty winters old, has the paragraph on the Company's weighing-beam read a third ti
CHANGE	eras/age_V/annals/age_V_06.json:EV-3520.body	the Company's	->	A' Chompanaidh's	|	The guild hall at Muileann chiar refuses the Company's partnership by every hand but
CHANGE	eras/age_V/annals/age_V_06.json:EV-3523.body	a Company contract	->	a contract of A' Chompanaidh	|	cil of Dùn chiar votes twenty-six to nine to take a Company contract for camp canvas, against the 
CHANGE	eras/age_V/annals/age_V_06.json:EV-3525.body	the Company's	->	A' Chompanaidh's	|	After the Company's great steelyard is hung at Ro
CHANGE	eras/age_V/annals/age_V_06.json:EV-3527.body	the silver guild	->	Comann an Airgid	|	Muileann chiar, eighty-five years old, having led the silver guild since before the strangers' f
CHANGE	eras/age_V/annals/age_V_06.json:EV-3527.body	the strangers' fever	->	Fiabhras nan Coigreach	|	ars old, having led the silver guild since before the strangers' fever and twice put the Company's o
CHANGE	eras/age_V/annals/age_V_06.json:EV-3527.body	the Company's	->	A' Chompanaidh's	|	d since before the strangers' fever and twice put the Company's offers to a show of hands and
CHANGE	eras/age_V/annals/age_V_06.json:EV-3529.title	the green acre	->	An Acair Uaine	|	The first grave dug in the green acre
CHANGE	eras/age_V/annals/age_V_06.json:EV-3530.body	the Company agent	->	A' Chompanaidh's agent	|	 with its bedding before the next nightfall, over the Company agent's written protest at the loss
CHANGE	eras/age_V/annals/age_V_06.json:EV-3531.body	the Green Death	->	A' Phlàigh Uaine	|	k who keeps the roll of settlements with cases of the Green Death leaves a blank line after the
CHANGE	eras/age_V/annals/age_V_06.json:EV-3507.body	Commissioner	->	Àrd-mhaor	|	Commissioner Crane walks the worst of the 
CHANGE	eras/age_V/annals/age_V_06.json:EV-3532.body	the Green Death's	->	A' Phlàigh Uaine's	|	uled black-bound book of the lungs he weighs from the Green Death's dead, with the custodians' le
CHANGE	eras/age_V/annals/age_V_06.json:EV-3509.body	the Mission	->	Teachdaireachd na h-Eaglaise	|	Anne Colby, unsent by the Mission and unasked by any custodian,
CHANGE	eras/age_V/annals/age_V_06.json:EV-3509.body	the Green Death	->	A' Phlàigh Uaine	|	eitris Bhàn what her own hands have taught her of the Green Death. The two begin washing the ca
CHANGE	eras/age_V/annals/age_V_06.json:EV-3534.body	the Mission	->	Teachdaireachd na h-Eaglaise	|	s weighing in other men's lungs, and is buried by the Mission apart from the green acre and
CHANGE	eras/age_V/annals/age_V_06.json:EV-3534.body	the green acre	->	An Acair Uaine	|	's lungs, and is buried by the Mission apart from the green acre and the field at Cnoc naomh. 
CHANGE	eras/age_V/annals/age_V_06.json:EV-3534.body	the Residency	->	Taigh an Àrd-mhaoir	|	and the field at Cnoc naomh. His book is filed at the Residency and never taken up by any phy
CHANGE	eras/age_V/annals/age_V_07.json:EV-4001.body	the Green Death	->	A' Phlàigh Uaine	|	we to close the third and fourth galleries, where the Green Death struck worst, until the surge
CHANGE	eras/age_V/annals/age_V_07.json:EV-4011.title	the green acre	->	An Acair Uaine	|	The shrine women keep the green acre through the stoppage
CHANGE	eras/age_V/annals/age_V_07.json:EV-4011.body	the green acre	->	An Acair Uaine	|	men go on leaving dishes of meal on the mounds of the green acre where the Green Death's dead 
CHANGE	eras/age_V/annals/age_V_07.json:EV-4011.body	the Green Death's	->	A' Phlàigh Uaine's	|	hes of meal on the mounds of the green acre where the Green Death's dead were laid, finding a lit
CHANGE	eras/age_V/annals/age_V_07.json:EV-4017.body	every Company pit	->	every pit of A' Chompanaidh	|	With her savings spent and refused work at every Company pit, Catrìona nic Eachainn takes 
CHANGE	eras/age_V/annals/age_V_07.json:EV-4018.title	The silver guild's	->	Comann an Airgid's	|	The silver guild's hands vote to take Catrìona o
CHANGE	eras/age_V/annals/age_V_07.json:EV-4019.title	The Company	->	A' Chompanaidh	|	The Company writes to Muileann chiar for 
CHANGE	eras/age_V/annals/age_V_07.json:EV-4019.body	the silver guild	->	Comann an Airgid	|	anaidh's counting-house at Ros dhomhain writes to the silver guild asking that Catrìona nic Each
CHANGE	eras/age_V/annals/age_V_07.json:EV-4004.body	the Residency's	->	Taigh an Àrd-mhaoir's	|	oin. Beathag Ruadh lets it pass unremarked before the Residency's clerk, and tells Fearghas mac
CHANGE	eras/age_V/annals/age_V_07.json:EV-4020.title	the Residency's	->	Taigh an Àrd-mhaoir's	|	The order blesses the Residency's first coin
CHANGE	eras/age_V/annals/age_V_07.json:EV-4020.body	the Residency clerk	->	Taigh an Àrd-mhaoir's clerk	|	s his place and says the words, though he watches the Residency clerk carry the satchel out and fin
CHANGE	eras/age_V/annals/age_V_07.json:EV-4021.title	the warm springs	->	Fuarain Theth Muileann ruadh	|	A penny at the door of the warm springs
CHANGE	eras/age_V/annals/age_V_07.json:EV-4021.body	the Administration	->	Riaghaltas nan Coigreach	|	The bath-house the Administration built at the warm springs nea
CHANGE	eras/age_V/annals/age_V_07.json:EV-4021.body	the warm springs	->	Fuarain Theth Muileann ruadh	|	The bath-house the Administration built at the warm springs near Muileann ruadh opens to 
CHANGE	eras/age_V/annals/age_V_07.json:EV-4005.body	The Council of Custodians	->	Comhairle a' Chùraim	|	The Council of Custodians, unable to agree a head since
CHANGE	eras/age_V/annals/age_V_07.json:EV-4005.body	high custodian	->	Ceann a' Chùraim	|	h, seats Artair mac Iain of the eastern shires as high custodian, six-and-fifty years old, in 
CHANGE	eras/age_V/annals/age_V_07.json:EV-4005.body	the treaty	->	Cùmhnant Cathair dhearg	|	, in the hall where Tormod mac Ailein once signed the treaty. Fearghas mac Mhuirich says t
CHANGE	eras/age_V/annals/age_V_07.json:EV-4022.body	the silver guild	->	Comann an Airgid	|	As Muileann chiar's lanes fill past holding, the silver guild raises a second town a mile t
CHANGE	eras/age_V/annals/age_V_07.json:EV-4023.title	the Company's	->	A' Chompanaidh's	|	The guild refuses the Company's price a third time
CHANGE	eras/age_V/annals/age_V_07.json:EV-4023.body	The Company	->	A' Chompanaidh	|	The Company asks a third time that the si
CHANGE	eras/age_V/annals/age_V_07.json:EV-4023.body	the silver guild	->	Comann an Airgid	|	The Company asks a third time that the silver guild sell at the Company's own pri
CHANGE	eras/age_V/annals/age_V_07.json:EV-4023.body	the Company's	->	A' Chompanaidh's	|	y asks a third time that the silver guild sell at the Company's own price, naming a magistrat
CHANGE	eras/age_V/annals/age_V_07.json:EV-4024.body	A Residency crier	->	A crier of Taigh an Àrd-mhaoir	|	A Residency crier reads the second cheapening o
CHANGE	eras/age_V/annals/age_V_07.json:EV-4025.body	The Company	->	A' Chompanaidh	|	arket and load it for their own crossing instead. The Company, holding the only deep-water 
CHANGE	eras/age_V/annals/age_V_07.json:EV-4026.body	the Company	->	A' Chompanaidh	|	 by selling boats. Eleven of two-and-twenty go to the Company at its own asking price, and 
CHANGE	eras/age_V/annals/age_V_07.json:EV-4026.body	Company contracts	->	A' Chompanaidh's contracts	|	 them go into the pits the following season under Company contracts.
CHANGE	eras/age_V/annals/age_V_07.json:EV-4006.title	The Residency	->	Taigh an Àrd-mhaoir	|	The Residency notes the order divided
CHANGE	eras/age_V/annals/age_V_07.json:EV-4006.body	the Residency	->	Taigh an Àrd-mhaoir	|	Word of Fearghas mac Mhuirich's refusal reaches the Residency within the month. Tolley, nea
CHANGE	eras/age_V/annals/age_V_07.json:EV-4006.body	the Residency's	->	Taigh an Àrd-mhaoir's	|	ey, near his own retiring, does not send for him; the Residency's letter-book records only that
CHANGE	eras/age_V/annals/age_V_07.json:EV-4028.body	the Administration's	->	Riaghaltas nan Coigreach's	|	Asked to bless the Administration's larger second coin as the fir
CHANGE	eras/age_V/annals/age_V_07.json:EV-4030.body	the sacred forest at Cnoc bheag	->	Coille Naomh Cnoc bheag	|	with eleven of the order who think as he does, to the sacred forest at Cnoc bheag. Griogair, eldest of those wh
CHANGE	eras/age_V/annals/age_V_07.json:EV-4031.body	the first fire	->	Teine a' Chlachair	|	vening of the spring Fearghas mac Mhuirich lights the first fire there and says the rite of th
CHANGE	eras/age_V/annals/age_V_07.json:EV-4007.title	The Levy	->	An Togail	|	The Levy read at Cnoc thais
CHANGE	eras/age_V/annals/age_V_07.json:EV-4007.body	The Levy's	->	An Togail's	|	The Levy's officers read their list at C
CHANGE	eras/age_V/annals/age_V_07.json:EV-4033.title	the Levy	->	An Togail	|	The concession's human farmers spared the Levy
CHANGE	eras/age_V/annals/age_V_07.json:EV-4033.body	the Levy	->	An Togail	|	In the northern concession the Levy falls on every Dia-thìreach h
CHANGE	eras/age_V/annals/age_V_07.json:EV-4033.body	the Administration's	->	Riaghaltas nan Coigreach's	|	 Levy falls on every Dia-thìreach household while the Administration's own leaseholders pay nothing,
CHANGE	eras/age_V/annals/age_V_07.json:EV-4033.body	the Administration's	->	Riaghaltas nan Coigreach's	|	he reason that the concession's tenants answer to the Administration's leave alone.
CHANGE	eras/age_V/annals/age_V_07.json:EV-4034.body	The Levy	->	An Togail	|	The Levy is read at the market cross o
CHANGE	eras/age_V/annals/age_V_08.json:EV-4513.body	the Company's	->	A' Chompanaidh's	|	he coast's custom, and sends him to the camps for the Company's ration rather than keep him a
CHANGE	eras/age_V/annals/age_V_08.json:EV-4514.body	the Mission kitchen	->	Teachdaireachd na h-Eaglaise's kitchen	|	is fed through the second winter of the hunger by the Mission kitchen at the harbour, which serves 
CHANGE	eras/age_V/annals/age_V_08.json:EV-4515.title	the Residency	->	Taigh an Àrd-mhaoir	|	Anne Colby's letter to the Residency
CHANGE	eras/age_V/annals/age_V_08.json:EV-4515.body	the Residency	->	Taigh an Àrd-mhaoir	|	 relief ship idle at anchor, Anne Colby writes to the Residency at Ros dhomhain asking only w
CHANGE	eras/age_V/annals/age_V_08.json:EV-4515.body	Commissioner	->	Àrd-mhaor	|	ames no one and settles nothing, noting only that Commissioner Tolley has heard her concern.
CHANGE	eras/age_V/annals/age_V_08.json:EV-4516.body	the Residency	->	Taigh an Àrd-mhaoir	|	f ship's holds are opened at last when a clerk of the Residency and a clerk of the Company se
CHANGE	eras/age_V/annals/age_V_08.json:EV-4516.body	the Company	->	A' Chompanaidh	|	last when a clerk of the Residency and a clerk of the Company set men to the work themselve
CHANGE	eras/age_V/annals/age_V_08.json:EV-4517.body	the Mission's	->	Teachdaireachd na h-Eaglaise's	|	Anne Colby goes north to Baile chrom to run the Mission's kitchen in a net-shed by the 
CHANGE	eras/age_V/annals/age_V_08.json:EV-4518.body	the Mission's	->	Teachdaireachd na h-Eaglaise's	|	en Anne Colby keeps a book of her own, apart from the Mission's, writing every name she feeds
CHANGE	eras/age_V/annals/age_V_08.json:EV-4519.title	The Levy	->	An Togail	|	The Levy read ended at Baile chrom
CHANGE	eras/age_V/annals/age_V_08.json:EV-4519.body	the Levy	->	An Togail	|	The clerk who first read the Levy at the market cross of Baile 
CHANGE	eras/age_V/annals/age_V_08.json:EV-4504.body	the Levy's	->	An Togail's	|	ys, carrying her cloak and her village's slate of the Levy's and the famine's dead rolled 
CHANGE	eras/age_V/annals/age_V_08.json:EV-4522.body	the Company's	->	A' Chompanaidh's	|	Once the tithe goes up on the Company's boards before any custodian's
CHANGE	eras/age_V/annals/age_V_08.json:EV-4523.body	the Company's	->	A' Chompanaidh's	|	e eastern coast tells the gathered custodians how the Company's store at Seann Dunn, opened a
CHANGE	eras/age_V/annals/age_V_08.json:EV-4505.title	the Residency	->	Taigh an Àrd-mhaoir	|	Peigi Ghlas at the Residency
CHANGE	eras/age_V/annals/age_V_08.json:EV-4525.body	the Residency's	->	Taigh an Àrd-mhaoir's	|	clerk receives her, Peigi Ghlas is turned back at the Residency's gate once and kept waiting a 
CHANGE	eras/age_V/annals/age_V_08.json:EV-4530.body	the Levy	->	An Togail	|	àrd sings his first finished song, four verses on the Levy and the famine, at the pit-mo
CHANGE	eras/age_V/annals/age_V_08.json:EV-4532.body	the silver guild's	->	Comann an Airgid's	|	Riding east on the silver guild's business, Fearchar Bàrd sits 
CHANGE	eras/age_V/annals/age_V_08.json:EV-4532.body	six Company carters	->	six carters of A' Chompanaidh	|	 sits unknown at An Taigh-òsta Grianach and hears six Company carters sing his granary song through
CHANGE	eras/age_V/annals/age_V_08.json:EV-4533.body	the silver guild's	->	Comann an Airgid's	|	Fearchar Bàrd, at Ros dhomhain on the silver guild's errand, watches the Company's
CHANGE	eras/age_V/annals/age_V_08.json:EV-4533.body	the Company's	->	A' Chompanaidh's	|	os dhomhain on the silver guild's errand, watches the Company's first iron steamship take on 
CHANGE	eras/age_V/annals/age_V_08.json:EV-4535.body	The Company	->	A' Chompanaidh	|	The Company rings the pithead at Baile th
CHANGE	eras/age_V/annals/age_V_08.json:EV-4509.body	high custodian	->	Ceann a' Chùraim	|	Artair mac Iain, high custodian for twenty and four years, di
CHANGE	eras/age_V/annals/age_V_08.json:EV-4540.title	The Administration's	->	Riaghaltas nan Coigreach's	|	The Administration's watchman recalled from Allt a
CHANGE	eras/age_V/annals/age_V_08.json:EV-4540.body	The Administration posts	->	Riaghaltas nan Coigreach's posts	|	The Administration posts a watchman at Allt an Àigh to
CHANGE	eras/age_V/annals/age_V_08.json:EV-4511.body	The Mission's	->	Teachdaireachd na h-Eaglaise's	|	The Mission's physician at Baile Mòr ruadh,
CHANGE	eras/age_V/annals/age_V_08.json:EV-4511.body	the Mission's	->	Teachdaireachd na h-Eaglaise's	|	d its deep wells were sunk through. His report to the Mission's house at Cathair dhearg is th
CHANGE	eras/age_V/annals/age_V_08.json:EV-4512.body	Commissioner	->	Àrd-mhaor	|	f the ten drought districts' custodians petitions Commissioner Haskins in her own hand, unkn
CHANGE	eras/age_V/annals/age_V_08.json:EV-4512.body	the Company's	->	A' Chompanaidh's	|	 her own hand, unknown to the others, asking that the Company's quota be set aside until two 
CHANGE	eras/age_V/annals/age_V_08.json:EV-4512.body	the Residency	->	Taigh an Àrd-mhaoir	|	ted. Iseabail nic Leòid rides her own petition to the Residency and is told, as every other h
CHANGE	eras/age_V/annals/age_V_08.json:EV-4542.title	The Mission	->	Teachdaireachd na h-Eaglaise	|	The Mission bores wells that hold at Acha
CHANGE	eras/age_V/annals/age_V_08.json:EV-4542.body	the Mission	->	Teachdaireachd na h-Eaglaise	|	Following Coll's report, the Mission bores new wells at Achadh she
CHANGE	eras/age_V/annals/age_V_08.json:EV-4542.body	the Mission's	->	Teachdaireachd na h-Eaglaise's	|	 custodians of the drought country begin entering the Mission's wells and the Company's unmov
CHANGE	eras/age_V/annals/age_V_08.json:EV-4542.body	the Company's	->	A' Chompanaidh's	|	ht country begin entering the Mission's wells and the Company's unmoved quota on facing pages
CHANGE	eras/age_V/annals/age_V_08.json:EV-4543.title	The Mission's	->	Teachdaireachd na h-Eaglaise's	|	The Mission's rig strikes water at Achadh s
CHANGE	eras/age_V/annals/age_V_08.json:EV-4543.body	the Mission's	->	Teachdaireachd na h-Eaglaise's	|	A third well bored by the Mission's rig on the moor above Achadh 
CHANGE	eras/age_V/annals/age_V_09.json:EV-5010.title	The Company's	->	A' Chompanaidh's	|	The Company's survey marks the Hale cutting
CHANGE	eras/age_V/annals/age_V_09.json:EV-5010.body	the Company's	->	A' Chompanaidh's	|	Hale a small sum to sign it over rather than test the Company's claim.
CHANGE	eras/age_V/annals/age_V_09.json:EV-5011.body	the Company's	->	A' Chompanaidh's	|	ile dhìreach to Ros dhomhain and files a claim at the Company's court, a copy of his grandmot
CHANGE	eras/age_V/annals/age_V_09.json:EV-5012.body	the Company's	->	A' Chompanaidh's	|	o that Thomas Hale may carry proof of the line to the Company's court.
CHANGE	eras/age_V/annals/age_V_09.json:EV-5013.title	the Company's	->	A' Chompanaidh's	|	Dunstan's ruling read at the Company's counter
CHANGE	eras/age_V/annals/age_V_09.json:EV-5013.body	the Administration	->	Riaghaltas nan Coigreach	|	n a custodian's roll, however old, creates a line the Administration recognises, and confirms the 
CHANGE	eras/age_V/annals/age_V_09.json:EV-5013.body	the Company	->	A' Chompanaidh	|	istration recognises, and confirms the cutting to the Company.
CHANGE	eras/age_V/annals/age_V_09.json:EV-5001.body	Dunstan's rule	->	Riaghailt Dunstan	|	hìrich and humans in her roll, judging that under Dunstan's rule such an entry has become a pa
CHANGE	eras/age_V/annals/age_V_09.json:EV-5016.body	the Company's	->	A' Chompanaidh's	|	r of the Cnoc chaol sorting-floor, is taken up by the Company's constables over a dispute at 
CHANGE	eras/age_V/annals/age_V_09.json:EV-5016.body	the Company's	->	A' Chompanaidh's	|	t-weighted cartload he did not cut. He is held in the Company's lock-up pending a hearing nev
CHANGE	eras/age_V/annals/age_V_09.json:EV-5002.body	the Company's	->	A' Chompanaidh's	|	Griogair mac Ailein dies in the Company's lock-up at Cnoc chaol of a fe
CHANGE	eras/age_V/annals/age_V_09.json:EV-5002.body	the Company's	->	A' Chompanaidh's	|	in the Company's lock-up at Cnoc chaol of a fever the Company's own surgeon records as alread
CHANGE	eras/age_V/annals/age_V_09.json:EV-5003.body	the Administration's	->	Riaghaltas nan Coigreach's	|	own along the coast for his hard-won knowledge of the Administration's law, to stand at Griogair mac
CHANGE	eras/age_V/annals/age_V_09.json:EV-5003.body	the Company surgeon	->	A' Chompanaidh's surgeon	|	stand at Griogair mac Ailein's graveside and read the Company surgeon's note releasing the body.
CHANGE	eras/age_V/annals/age_V_09.json:EV-5017.body	The burial club	->	Comann an Adhlacaidh	|	The burial club newly begun among the pit cre
CHANGE	eras/age_V/annals/age_V_09.json:EV-5017.body	the Lamp-Watch	->	Faire nan Lòchran	|	ews of Baile thais and Cnoc chaol, calling itself the Lamp-Watch among its own members, gather
CHANGE	eras/age_V/annals/age_V_09.json:EV-5017.body	the Company's	->	A' Chompanaidh's	|	, meaning his burying to be seen done properly in the Company's own eye.
CHANGE	eras/age_V/annals/age_V_09.json:EV-5018.body	the Company's	->	A' Chompanaidh's	|	Hale reads Griogair mac Ailein's release aloud in the Company's own tongue before some thirty
CHANGE	eras/age_V/annals/age_V_09.json:EV-5018.body	the Company's	->	A' Chompanaidh's	|	rk may afterward say the burying was done without the Company's leave.
CHANGE	eras/age_V/annals/age_V_09.json:EV-5019.body	Commissioner	->	Àrd-mhaor	|	Robert Haskins, sixty-nine years old and Commissioner nine years, sails from Ros dh
CHANGE	eras/age_V/annals/age_V_09.json:EV-5019.body	the Company	->	A' Chompanaidh	|	ars, sails from Ros dhomhain after a quarrel with the Company over the price of a steamship
CHANGE	eras/age_V/annals/age_V_09.json:EV-5020.body	Commissioner	->	Àrd-mhaor	|	ng in Dia-thìris, badly and unprompted, the first Commissioner in living memory to do so wit
CHANGE	eras/age_V/annals/age_V_09.json:EV-5004.body	the Mission's	->	Teachdaireachd na h-Eaglaise's	|	 to Comhairle a' Chùraim before finishing through the Mission's interpreter, telling the coun
